age,income,education,experience,performance,department,satisfaction,bonus
21.07268068231241,74562.7846384839,Master,4,0.3745083748198377,Finance,3,965.9184557709888
28.217902900325868,41063.25386143767,PhD,4,0.25276370108399715,Finance,1,9726.694926445369
24.687776026573143,67080.00023070152,Bachelor,7,0.272606070269852,IT,1,3411.8287013875192
30.408827089946477,8746.205641931436,Master,9,0.4794465790517087,IT,4,5269.686696722288
26.08166368082785,11268.72025863861,PhD,4,0.33615252752993896,Finance,5,7160.761956204245
26.32926939216243,30965.378727236824,PhD,11,0.23780789669531074,Marketing,1,8348.984496129659
28.67071274216012,69405.93523557197,PhD,2,0.29902585968496825,IT,2,8326.562418091251
26.16327882736423,27872.88613595898,Master,4,0.19929419531866513,Marketing,2,2462.4298663341337
24.967592456551756,91109.01683021814,Master,5,0.31407997853802755,IT,1,15.162539521920149
14.920704526613818,40983.22107104977,Bachelor,4,0.2913657028259119,Marketing,3,6850.505708302396
24.130691504935307,903.9213353497377,Bachelor,4,0.19044851810283764,Marketing,5,4022.2929034993404
29.181813050278198,44069.0874685167,PhD,3,0.21506009437905052,Marketing,4,1410.09774405233
32.003171174685846,194929.6606314306,Bachelor,5,0.03686686585476714,Finance,3,6176.977674608708
24.426425092388765,8213.308913816054,PhD,2,0.40262867195014895,Finance,1,811.1567831613676
19.371860156706525,25665.504200557592,PhD,5,0.1992992319779996,Finance,1,5603.288659579639
22.95920896921068,64048.651143812596,Bachelor,3,0.38778050196982466,Finance,2,1582.57928822796
22.5067292225116,49405.66974860014,Bachelor,4,0.48569160326110083,IT,2,4798.881348105204
22.58932036853538,96289.88389857825,Bachelor,7,0.18633059073399438,HR,1,7631.6560346816495
32.23889530065443,30340.593916405505,Master,6,0.5989992663729563,HR,2,5188.159183619785
24.122479076689498,3005.5515051396487,PhD,3,0.24261734664979331,Finance,2,8382.203761868606
22.17982777316022,68872.14277736068,PhD,5,0.5309980546711823,Marketing,2,521.0791928630642
25.298120735079927,28546.076490796357,PhD,4,0.36480004337105715,Marketing,4,7144.27346939296
22.841975857092162,17715.495514257775,Master,4,0.16928045026354382,Finance,5,2417.7672868880186
28.2759597911856,29806.768902860233,Bachelor,6,0.4421833198299759,IT,2,9896.495933482236
30.638359109452196,8172.579584666294,Bachelor,1,0.3458937275399449,Marketing,5,8614.29570450574
24.56224599298362,82930.88486874515,Bachelor,3,0.25272201147088097,IT,4,6994.30120491825
26.6126741899967,156834.78370721903,Master,5,0.2569115350716766,Finance,2,2934.8686361014775
19.051588228832376,11140.289626612717,Bachelor,3,0.19780037966342745,IT,1,584.19210562899
27.312887511283705,5865.615834010895,PhD,8,0.22877654157547087,Marketing,1,5593.5042671925585
37.345172215169285,21368.673711639804,Master,5,0.12340429863031054,Marketing,3,9500.123710047257
29.076170791878575,7150.642106710288,Bachelor,4,0.11675145826479179,Marketing,1,3217.9224935716065
24.393306924880402,41825.1828429683,Bachelor,10,0.5515949034853697,HR,3,2389.6484571022515
28.134871443977364,30718.213578646064,PhD,1,0.21456575094753474,Finance,4,2267.6546909682083
21.259318568452674,51397.758417630066,Master,6,0.4621797796855072,Finance,1,813.5489993750933
26.189958182503062,83591.96100118311,Master,5,0.24907331011807482,IT,5,4605.843696992433
